facility_code	payer_label	decided_on	codes_utilizing	billing_rules	lifecycle	notes	plan_alpha	level_of_care
Treat CA	Blue Cards	06/01/2026	H2013/0905	Still doing a few testing, but all billing besides those moving forward will be this.	CONTINUE TESTS	lifecycle derived from rules prose (EH tab has no Test Status column)		
Treat CA	Anthem of CALIFORNIA	06/30/2026	H2020/0905	Allowing $2924	CONFIRMED CODES			
Treat TX	UMR	6/12/2026	H2020/0905	removing GT mod on claims	CONFIRMED CODES			
Treat TX	Anthem & BCBS	06/01/2026	H2012/0905	3 units per code (PER HOUR)	CONFIRMED CODES			
Treat TX	BCBS TX	07/14/2026	S9480/0912	Add Condition code 92	CONFIRMED CODES			
Treat TX	Optum/UHC/UMR	05/20/2026	H2020/0905	ALL IOP OPTUM/UHC	CONFIRMED CODES			IOP
Treat TN	UMR	06/12/2026	H2020/0905	removing GT mod on claims	CONFIRMED CODES			
Treat NV	UMR	06/12/2026	H2020/0905		CONFIRMED CODES			
Treat NV	Cigna	0714/2026	H2013/0905		CONFIRMED CODES	sheet date is corrupt (0714/2026) — kept so the report names it		
Treat WA	UMR	06/12/2026	H2020/0905		CONFIRMED CODES			
Treat WA	BCBS		H2018/0905	Thinking we might start testing this instead of H2018	UPCOMING TEST	no decision date on the sheet — kept so the report names it · lifecycle derived from rules prose (EH tab has no Test Status column)		
